nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
      8624,-4.999231106E-04, 1.040864557E-02, 0.000000000E+00, 1.605183294E-01, 1.600709398E-01, 1.183173328E-02, 0.000000000E+00
      8625, 8.031186474E-04, 1.040874063E-02, 0.000000000E+00, 1.396660269E-01, 1.395250248E-01,-6.111303801E-03, 0.000000000E+00
      8626, 6.465180975E-03, 1.041104159E-02, 0.000000000E+00, 2.679724642E-01, 2.577467904E-01,-7.297365173E-02, 0.000000000E+00
      8627, 2.028870860E-05, 1.041337977E-02, 0.000000000E+00, 1.503163029E-01, 1.502549197E-01, 3.962486120E-03, 0.000000000E+00
      8628,-2.393800498E-04, 1.041624445E-02, 0.000000000E+00, 1.559891576E-01, 1.557855131E-01, 7.769601961E-03, 0.000000000E+00
      8629,-1.065685151E-03, 1.041861183E-02, 0.000000000E+00, 1.876540539E-01, 1.861273999E-01, 2.376524533E-02, 0.000000000E+00
      8630, 2.532576673E-03, 1.042393056E-02, 0.000000000E+00, 1.660597800E-01, 1.637336241E-01,-2.755522005E-02, 0.000000000E+00
      8631,-1.204712025E-02, 1.042441660E-02, 0.000000000E+00, 8.323000184E-01, 7.787532295E-01, 2.921038038E-01, 0.000000000E+00
      8632, 3.975961113E-03, 1.042439515E-02, 0.000000000E+00, 2.071512176E-01, 2.013536098E-01,-4.843533420E-02, 0.000000000E+00
      8633,-2.696901564E-03, 1.043140062E-02, 0.000000000E+00, 3.135420690E-01, 3.023668040E-01, 8.288408679E-02, 0.000000000E+00
      8634, 3.838295165E-03, 1.043438485E-02, 0.000000000E+00, 2.000334393E-01, 1.947473327E-01,-4.547621798E-02, 0.000000000E+00
      8635, 5.674719341E-04, 1.043825836E-02, 0.000000000E+00, 1.583961550E-01, 1.583567276E-01,-2.868132969E-03, 0.000000000E+00
      8636, 6.109589372E-03, 1.043836773E-02, 0.000000000E+00, 2.562725548E-01, 2.464440850E-01,-6.996485285E-02, 0.000000000E+00
      8637, 2.495518045E-04, 1.043855118E-02, 0.000000000E+00, 1.612198167E-01, 1.612075305E-01, 1.392413385E-03, 0.000000000E+00
      8638, 1.887579509E-02, 1.043861572E-02, 0.000000000E+00, 4.469611736E-01, 4.394906443E-01,-8.094803186E-02, 0.000000000E+00
      8639, 2.238077856E-03, 1.045156261E-02, 0.000000000E+00, 1.620358987E-01, 1.602680333E-01,-2.369238455E-02, 0.000000000E+00
      8640, 1.017366524E-03, 1.045267926E-02, 0.000000000E+00, 1.565796820E-01, 1.563472299E-01,-8.340103019E-03, 0.000000000E+00
      8641,-7.021551806E-03, 1.045342750E-02, 0.000000000E+00, 7.677913501E-01, 6.792500584E-01, 3.575928471E-01, 0.000000000E+00
      8642,-7.215845356E-04, 1.045401475E-02, 0.000000000E+00, 1.794831728E-01, 1.787320236E-01, 1.623976359E-02, 0.000000000E+00
      8643, 4.422313201E-03, 1.046522020E-02, 0.000000000E+00, 2.222553364E-01, 2.155661071E-01,-5.391922730E-02, 0.000000000E+00
      8644, 7.196939545E-04, 1.046690046E-02, 0.000000000E+00, 1.612291166E-01, 1.611520770E-01,-4.661094374E-03, 0.000000000E+00
      8645, 1.074265015E-04, 1.046757997E-02, 0.000000000E+00, 1.659968970E-01, 1.659558297E-01, 3.296921552E-03, 0.000000000E+00
      8646,-2.898771275E-03, 1.047100414E-02, 0.000000000E+00, 3.558600914E-01, 3.415968720E-01, 9.964227293E-02, 0.000000000E+00
      8647, 2.714146569E-03, 1.047392815E-02, 0.000000000E+00, 1.870066161E-01, 1.842959461E-01,-3.156903062E-02, 0.000000000E+00
      8648,-4.180832175E-04, 1.047597113E-02, 0.000000000E+00, 1.765462769E-01, 1.761530409E-01, 1.158589323E-02, 0.000000000E+00
      8649,-1.458526751E-04, 1.047642985E-02, 0.000000000E+00, 1.696509102E-01, 1.694971239E-01, 6.971502966E-03, 0.000000000E+00
      8650, 2.068920726E-03, 1.048162566E-02, 0.000000000E+00, 1.652922842E-01, 1.637762160E-01,-2.225381018E-02, 0.000000000E+00
      8651,-2.011616949E-03, 1.049002344E-02, 0.000000000E+00, 2.699645385E-01, 2.639577901E-01, 5.657121069E-02, 0.000000000E+00
      8652, 6.942186427E-02, 1.049182642E-02, 0.000000000E+00, 7.163697437E-01, 7.161528085E-01,-1.759531232E-02, 0.000000000E+00
      8653,-3.527320927E-03, 1.049279690E-02, 0.000000000E+00, 4.342953351E-01, 4.107106960E-01, 1.410854846E-01, 0.000000000E+00
      8654,-4.870476489E-03, 1.049728968E-02, 0.000000000E+00, 5.961979926E-01, 5.461585142E-01, 2.389472845E-01, 0.000000000E+00
      8655,-1.914944474E-03, 1.049899134E-02, 0.000000000E+00, 2.589924183E-01, 2.539243927E-01, 5.092476363E-02, 0.000000000E+00
      8656, 4.677552933E-03, 1.050128262E-02, 0.000000000E+00, 2.419288601E-01, 2.348037684E-01,-5.805725188E-02, 0.000000000E+00
      8657, 1.541226895E-03, 1.050158718E-02, 0.000000000E+00, 1.691764528E-01, 1.684117405E-01,-1.594334010E-02, 0.000000000E+00
      8658,-3.368909562E-03, 1.051245933E-02, 0.000000000E+00, 4.126923169E-01, 3.922621094E-01, 1.281585362E-01, 0.000000000E+00
      8659, 1.454131126E-02, 1.052504567E-02, 0.000000000E+00, 3.984316362E-01, 3.887797238E-01,-8.651677680E-02, 0.000000000E+00
      8660, 1.077629491E-02, 1.052970781E-02, 0.000000000E+00, 3.521532156E-01, 3.411719535E-01,-8.695624963E-02, 0.000000000E+00
      8661, 1.823458114E-03, 1.053022654E-02, 0.000000000E+00, 1.787250609E-01, 1.775992599E-01,-1.989023512E-02, 0.000000000E+00
      8662, 2.371215553E-03, 1.053376586E-02, 0.000000000E+00, 1.899951509E-01, 1.879588071E-01,-2.755538347E-02, 0.000000000E+00
      8663, 1.373822707E-03, 1.054537414E-02, 0.000000000E+00, 1.745949262E-01, 1.740173321E-01,-1.399580972E-02, 0.000000000E+00
      8664,-2.400026010E-03, 1.055421176E-02, 0.000000000E+00, 3.141347937E-01, 3.053986854E-01, 7.349593592E-02, 0.000000000E+00
      8665, 3.459580358E-03, 1.055413184E-02, 0.000000000E+00, 2.143179920E-01, 2.099245100E-01,-4.297052082E-02, 0.000000000E+00
      8666, 9.125693301E-03, 1.056405399E-02, 0.000000000E+00, 3.292581419E-01, 3.181232803E-01,-8.437294212E-02, 0.000000000E+00
      8667,-1.062144634E-03, 1.056574583E-02, 0.000000000E+00, 2.398322829E-01, 2.378456252E-01, 3.065203524E-02, 0.000000000E+00
      8668,-2.520606713E-02, 1.056932280E-02, 0.000000000E+00, 9.183675574E-01, 9.169784878E-01, 4.919882640E-02, 0.000000000E+00
      8669, 1.987377701E-03, 1.057818810E-02, 0.000000000E+00, 1.964640590E-01, 1.951131942E-01,-2.283138181E-02, 0.000000000E+00
      8670,-2.508183401E-03, 1.058717549E-02, 0.000000000E+00, 3.569518238E-01, 3.455979869E-01, 8.913655511E-02, 0.000000000E+00
      8671,-8.977175963E-03, 1.059184632E-02, 0.000000000E+00, 8.470797736E-01, 7.568158051E-01, 3.797208670E-01, 0.000000000E+00
      8672, 3.697427143E-03, 1.059852228E-02, 0.000000000E+00, 2.353655469E-01, 2.304987691E-01,-4.739909466E-02, 0.000000000E+00
      8673, 3.100216818E-03, 1.060321629E-02, 0.000000000E+00, 2.200772011E-01, 2.165309447E-01,-3.918628518E-02, 0.000000000E+00
      8674,-4.445063897E-03, 1.060698232E-02, 0.000000000E+00, 5.560182225E-01, 5.154954246E-01, 2.082124502E-01, 0.000000000E+00
      8675,-5.429898364E-03, 1.061094221E-02, 0.000000000E+00, 6.586220874E-01, 5.969707617E-01, 2.780011703E-01, 0.000000000E+00
      8676, 4.221932077E-03, 1.061536467E-02, 0.000000000E+00, 2.420327684E-01, 2.359232681E-01,-5.388751002E-02, 0.000000000E+00
      8677,-1.368201934E-03, 1.061716307E-02, 0.000000000E+00, 2.600795635E-01, 2.569930806E-01, 3.987964048E-02, 0.000000000E+00
      8678,-1.629722313E-03, 1.061775376E-02, 0.000000000E+00, 2.740746704E-01, 2.697304524E-01, 4.853553134E-02, 0.000000000E+00
      8679, 1.680719057E-03, 1.061844835E-02, 0.000000000E+00, 1.970470641E-01, 1.961501177E-01,-1.864254857E-02, 0.000000000E+00
      8680,-8.063849010E-03, 1.061930609E-02, 0.000000000E+00, 8.314955094E-01, 7.375532480E-01, 3.834429765E-01, 0.000000000E+00
      8681, 5.563098138E-03, 1.061994897E-02, 0.000000000E+00, 2.660116292E-01, 2.572212582E-01,-6.738129443E-02, 0.000000000E+00
      8682,-7.560068979E-04, 1.062613409E-02, 0.000000000E+00, 2.352008272E-01, 2.339804959E-01, 2.376505439E-02, 0.000000000E+00
      8683,-3.950676082E-03, 1.064099347E-02, 0.000000000E+00, 5.145308240E-01, 4.824203506E-01, 1.787905800E-01, 0.000000000E+00
      8684, 3.590795957E-04, 1.064279601E-02, 0.000000000E+00, 2.041901479E-01, 2.041698824E-01, 2.125120351E-03, 0.000000000E+00
      8685, 4.437946202E-04, 1.064852676E-02, 0.000000000E+00, 2.054236599E-01, 2.054069701E-01,-2.002472502E-05, 0.000000000E+00
      8686, 9.682707346E-03, 1.064851200E-02, 0.000000000E+00, 3.506098237E-01, 3.397171475E-01,-8.609515714E-02, 0.000000000E+00
      8687,-2.181048402E-03, 1.065142189E-02, 0.000000000E+00, 3.380280196E-01, 3.297050471E-01, 7.444599760E-02, 0.000000000E+00
      8688,-5.750064669E-03, 1.065174860E-02, 0.000000000E+00, 7.151085783E-01, 6.464671017E-01, 3.054622990E-01, 0.000000000E+00
      8689, 1.541814509E-01, 1.065251557E-02, 0.000000000E+00, 8.394359692E-01, 8.394215810E-01,-4.880279334E-03, 0.000000000E+00
      8690, 9.020431733E-05, 1.065565208E-02, 0.000000000E+00, 2.155135186E-01, 2.154106899E-01, 6.390524072E-03, 0.000000000E+00
      8691,-4.655735839E-03, 1.065674375E-02, 0.000000000E+00, 6.145824525E-01, 5.676302662E-01, 2.354391868E-01, 0.000000000E+00
      8692, 3.334116535E-03, 1.065686114E-02, 0.000000000E+00, 2.412427453E-01, 2.372955066E-01,-4.329267981E-02, 0.000000000E+00
      8693, 1.339714295E-03, 1.065908543E-02, 0.000000000E+00, 2.156195489E-01, 2.151521315E-01,-1.395501197E-02, 0.000000000E+00
      8694,-1.791716424E-03, 1.066136879E-02, 0.000000000E+00, 3.104714332E-01, 3.047391326E-01, 5.928719817E-02, 0.000000000E+00
      8695, 1.176531449E-01, 1.066231648E-02, 0.000000000E+00, 8.048105129E-01, 8.047747661E-01,-7.553414941E-03, 0.000000000E+00
      8696,-3.499115556E-02, 1.066253821E-02, 0.000000000E+00, 9.593037386E-01, 9.591275260E-01, 1.812117348E-02, 0.000000000E+00
      8697,-1.225455429E-03, 1.067243462E-02, 0.000000000E+00, 2.814375985E-01, 2.785415066E-01, 4.016628474E-02, 0.000000000E+00
      8698, 1.036493390E-03, 1.067299264E-02, 0.000000000E+00, 2.081694080E-01, 2.079569989E-01,-8.953098152E-03, 0.000000000E+00
      8699,-9.014394776E-04, 1.067378831E-02, 0.000000000E+00, 2.631648161E-01, 2.613379282E-01, 3.082063446E-02, 0.000000000E+00
      8700,-4.304991363E-04, 1.067822700E-02, 0.000000000E+00, 2.352416404E-01, 2.345406373E-01, 1.791596892E-02, 0.000000000E+00
      8701,-8.179249554E-02, 1.067919712E-02, 0.000000000E+00, 9.979815043E-01, 9.979810953E-01, 8.802546005E-04, 0.000000000E+00
      8702,-1.417948331E-04, 1.068029237E-02, 0.000000000E+00, 2.254829097E-01, 2.251596355E-01, 1.175603972E-02, 0.000000000E+00
      8703,-6.879563738E-03, 1.068478135E-02, 0.000000000E+00, 8.049841258E-01, 7.207687202E-01, 3.582310271E-01, 0.000000000E+00
      8704,-1.500740489E-03, 1.068949100E-02, 0.000000000E+00, 3.029594556E-01, 2.986683875E-01, 5.067886855E-02, 0.000000000E+00
      8705,-5.301437920E-03, 1.069515052E-02, 0.000000000E+00, 6.726264868E-01, 6.151646393E-01, 2.718934513E-01, 0.000000000E+00
      8706, 1.288235598E-02, 1.070059424E-02, 0.000000000E+00, 3.900783311E-01, 3.798787004E-01,-8.810117667E-02, 0.000000000E+00
      8707, 7.462385111E-04, 1.070399854E-02, 0.000000000E+00, 2.187700054E-01, 2.187173251E-01,-3.888193612E-03, 0.000000000E+00
      8708, 5.882807063E-03, 1.070565851E-02, 0.000000000E+00, 2.941611423E-01, 2.851816212E-01,-7.171314239E-02, 0.000000000E+00
      8709, 2.712218771E-02, 1.071598380E-02, 0.000000000E+00, 5.314196953E-01, 5.274556472E-01,-6.444233832E-02, 0.000000000E+00
      8710,-3.762997934E-03, 1.071793140E-02, 0.000000000E+00, 5.143366416E-01, 4.853087836E-01, 1.702346225E-01, 0.000000000E+00
      8711,-9.603969862E-03, 1.072067961E-02, 0.000000000E+00, 8.595578776E-01, 7.781288087E-01, 3.641999463E-01, 0.000000000E+00
      8712, 2.767074541E-03, 1.072493812E-02, 0.000000000E+00, 2.357992227E-01, 2.330743247E-01,-3.551473955E-02, 0.000000000E+00
      8713, 7.185810979E-03, 1.072733153E-02, 0.000000000E+00, 3.212401426E-01, 3.110307351E-01,-7.986383639E-02, 0.000000000E+00
      8714,-4.022536236E-05, 1.072762103E-02, 0.000000000E+00, 2.450433759E-01, 2.447711064E-01, 1.111515203E-02, 0.000000000E+00
      8715, 5.298911761E-03, 1.073407997E-02, 0.000000000E+00, 2.764149336E-01, 2.682972744E-01,-6.620723660E-02, 0.000000000E+00
      8716, 2.475142406E-04, 1.073498257E-02, 0.000000000E+00, 2.388057884E-01, 2.387253740E-01, 5.730366190E-03, 0.000000000E+00
      8717,-3.017532390E-03, 1.073604762E-02, 0.000000000E+00, 4.401616600E-01, 4.219855809E-01, 1.250737273E-01, 0.000000000E+00
      8718, 1.189774611E-03, 1.073698864E-02, 0.000000000E+00, 2.340873571E-01, 2.337984913E-01,-1.121063449E-02, 0.000000000E+00
      8719,-3.222704291E-03, 1.074174209E-02, 0.000000000E+00, 4.727481410E-01, 4.510175300E-01, 1.415682414E-01, 0.000000000E+00
      8720,-1.814515884E-02, 1.074202273E-02, 0.000000000E+00, 8.652694765E-01, 8.562450437E-01, 1.228854920E-01, 0.000000000E+00
      8721,-6.166143535E-04, 1.074583523E-02, 0.000000000E+00, 2.681700783E-01, 2.669813079E-01, 2.501727115E-02, 0.000000000E+00
      8722,-6.499854019E-03, 1.075032419E-02, 0.000000000E+00, 7.788322211E-01, 6.986056867E-01, 3.440347508E-01, 0.000000000E+00
      8723, 2.953250466E-03, 1.075166196E-02, 0.000000000E+00, 2.518779469E-01, 2.487749708E-01,-3.916570232E-02, 0.000000000E+00
